出埃及記
第一章
 	以色列人在埃及興盛
21	兩根枝子底部都有一個球飾，球飾連於燈台；兩根枝子底部都有一個球飾，球飾連於燈台；兩根枝子底部都有一個球飾，球飾連於燈台；從主幹伸出的六根枝子都是這樣。
22	這些球飾和枝子都連於燈台，整個燈台從一塊純金錘成。
23	他又造了燈台的燈盞，共七個，以及火鉗和火鏟，都是純金的。
24	他用一他連得的純金造了燈台和燈台的所有器物。
 	造香壇、聖膏抹油和聖香
（出30:1~5、22~38）
25	他用金合歡木造了那座香壇，長一肘，寬一肘，成正方形；高二肘。壇的四個翹角連於壇；
26	又給壇包上純金，包括壇的上面、壇的四個側面和四個翹角，並且在壇四圍做了金邊；
27	又為它造了兩個金環，安在壇兩邊的金邊之下，在壇的兩側，用來穿槓子抬壇。
28	他用金合歡木造了兩根槓子，包上金。
29	他又配製了聖膏抹油和純淨、芬芳的香，是用配製香物的方法製成的。
第三十八章
 	造祭壇
（出27:1~8）
1	他又用金合歡木造了那個燔祭壇，長五肘，寬五肘，成正方形，高三肘。
2	在祭壇的四角上造了翹角，這些翹角連於祭壇；又給祭壇包上銅。
3	他造了祭壇的一切器物，包括盆、灰鏟、潑血碗、肉叉、火鏟。祭壇的一切器物，都用銅來做。
4	又為祭壇造了一個銅網，安在祭壇的凸框下方，使網達到祭壇的半腰。
5	他鑄造了四個環，裝在銅網的四個角上，用來穿槓子。
6	又用金合歡木造了兩根槓子，包上銅，
7	並把槓子穿在祭壇兩邊的環裡，用來抬祭壇；祭壇用板造，中間是空的。
 	造銅盆
（出30:18）
8	他又造了一個銅盆和盆的銅座，是用那些在會幕門口服侍的婦女的銅鏡造的。
 	立院子
（出27:9~19）
9	他又造了聖幕的院子。朝南的一面有院子的幕牆，是用搓成的細麻線造的，共一百肘。
10	幕牆的柱子二十根，銅柱座二十個。柱子上的鈎子和箍都是銀的。
11	北面的幕牆共一百肘，幕牆的柱子二十根，銅柱座二十個，柱子上的鈎子和箍都是銀的。
12	西面的幕牆共五十肘，幕牆的柱子十根，柱座十個，柱子上的鈎子和箍都是銀的。
13	東面，就是向著日出那面，五十肘。
14	門的一側有十五肘的幕牆，幕牆的柱子三根，柱座三個。
15	門的另一側也是這樣。院子大門兩側各有十五肘的幕牆，幕牆的柱子三根，柱座三個。
16	院子周圍所有的幕牆都是用搓成的細麻線造的。
17	柱座是銅的，柱子上的鈎子和箍都是銀的，柱頂也包上銀；院子的所有柱子都有銀箍。
18	院子大門的門簾，是用藍線、紫線、朱紅線、搓成的細麻線，用織彩色布的方法織成的；寬二十肘，高五肘，與院子的幕牆相配。
19	門簾的柱子有四根，銅柱座有四個，柱子上的鈎子是銀的，柱頂包上銀，箍也是銀的。
20	聖幕和院子周圍的所有釘子，都是銅的。
 	建造聖幕的賬目
21	以下是聖幕——法櫃聖幕——的清點，照摩西的吩咐而清點，是利未人的工作，由亞倫祭司的兒子以他瑪領導。
22	耶和華吩咐摩西的一切，猶大支派戶珥的孫子、烏利的兒子比撒列都做了。
23	和他合作的，有但支派亞希沙麥的兒子亞何利亞伯，他是個雕刻匠，精於設計，又能用藍線、紫線、朱紅線、細麻線織多色布。
24	用於做聖所整個工程各項工作的所有黃金，就是作舉獻物的黃金，以聖所的舍客勒為準，共二十九他連得七百三十舍客勒。
25	會眾裡被數的人所付的銀子，以聖所的舍客勒為準，共一百他連得一千七百七十五舍客勒。
26	每人一比加，就是半舍客勒，以聖所的舍客勒為準。全部被數的人，就是二十歲及以上的男子，有六十萬三千五百五十人。
27	用了一百他連得銀子來鑄造聖所的柱座和幔帳的柱座；一百個柱座用了一百他連得，一他連得做一個柱座。
28	一千七百七十五舍客勒用來做柱子上的鈎子，包上柱頂，以及做柱子的箍。
29	作舉獻物的銅有七十他連得二千四百舍客勒。
30	這些銅用來做了會幕門口的那些柱座、銅祭壇、壇的銅網、壇的一切器物、
31	院子四周的柱座、院子大門的柱座、聖幕所有的釘子、院子四周所有的釘子。
第三十九章
 	造聖衣
（出28:1~5）
1	他們用藍線、紫線、朱紅線造了在聖所服侍時穿的衣服，又給亞倫造聖衣，照耶和華吩咐摩西的那樣。
 	造以弗得
（出28:6~14）
2	比撒列又用金線、藍線、紫線、朱紅線、搓成的細麻線造以弗得。
3	他們把金子錘成薄片，剪成細線，用精工織布的方法與藍線、紫線、朱紅線、細麻線一起編織。
4	又為以弗得造了兩條連接著的肩帶，連接在它的兩端。
5	在上面繫著以弗得的精工織帶，也用一樣的造法造，連於以弗得，用金線、藍線、紫線、朱紅線、搓成的細麻線織成，照耶和華吩咐摩西的那樣。
6	他們預備了兩塊瑪瑙石，像刻印章那樣刻上以色列眾子的名字，鑲嵌在金絲編成的槽裡。
7	比撒列把它們安在以弗得的兩條肩帶上，作為使以色列人蒙顧念的寶石，照耶和華吩咐摩西的那樣。
 	造胸袋
（出28:15~30）
8	他又用精工織布的方法造了那個胸袋，和造以弗得的方法一樣，用金線、藍線、紫線、朱紅線、搓成的細麻線做。
9	胸袋疊成雙層，是正方形；疊成雙層時長一虎口，寬一虎口。
10	他們把四行寶石鑲在上面：第一行是紅玉髓、托帕石、翡翠，
11	第二行是綠寶石、藍寶石、玉髓，
12	第三行是紅鋯石、綠玉髓、紫水晶，
13	第四行是金黃石、瑪瑙、鐵石英。這些都鑲嵌在各自的金絲槽裡。
14	這些寶石上有以色列眾子的名字，按著他們名字的數目共十二塊；像刻印章一樣，每塊刻一個名字，代表十二個支派。
15	他們也在胸袋上做了兩條純金的繩子，用編繩子的方法編成。
16	又做了兩個金絲槽和兩個金環，把這兩個環安在胸袋的兩端，
17	把那兩條金繩繫在胸袋兩端的兩個環裡，
18	又把那兩條繩子的另外兩端接在兩個槽上，安在以弗得的肩帶上，朝向前面。
19	他們又做了兩個金環，安在胸袋下邊的兩端，貼近以弗得，朝向裡面。
20	再做了兩個金環，安在以弗得兩條肩帶的下方，朝向前面，靠近連接處，在以弗得的精工織帶上方。
21	他們用藍色繩子把胸袋的環子繫在以弗得的環子上，使胸袋貼著以弗得的精工織帶，免得胸袋從以弗得脫落下來，照耶和華吩咐摩西的那樣。
 	造外袍
（出28:31~35）
22	他又用織單色布的方法造了以弗得的外袍，整件全是藍色的。
23	在外袍正中頭部的地方有一個領口，領口周圍有領邊，像結實衣服的領口那樣，免得領口破裂。
24	他們在外袍底邊用藍線、紫線、朱紅線做了石榴，
25	又做純金的鈴，把金鈴放在石榴之間，就是在外袍底邊周圍的石榴與石榴之間，
26	一個金鈴、一個石榴、一個金鈴、一個石榴，在外袍底邊周圍。這外袍是供祭司服侍時穿上的，照耶和華吩咐摩西的那樣。
 	造內袍
（出28:39~43）
27	他們又用織單色布的方法為亞倫和他的兒子們用細麻織了那些內袍，
28	用細麻造了那禮冠，用細麻造了那些華美的頭巾，用搓成的細麻線造了細麻布褲子，
29	用搓成的細麻線、藍線、紫線、朱紅線，用織彩色布的方法造了那條腰帶，照耶和華吩咐摩西的那樣。
 	造冠牌
（出28:36~38）
30	他們又用純金造了聖冠上的牌子，在牌上像刻印章一樣刻上‘歸耶和華為聖’，
31	用一條藍色繩子把牌子繫在禮冠上，照耶和華吩咐摩西的那樣。
 	工程完成
（參出35:10~19）
32	聖幕，就是會幕的所有工程都已經完成了。以色列人做好了這一切；耶和華吩咐摩西的所有事，他們都照著做。
33	他們把聖幕帶到摩西那裡，就是帳幕和帳幕的一切器物，包括鈎子、豎板、橫板、柱子、柱座，
34	染紅的公綿羊皮蓋子、海牛皮蓋子、遮掩的幔帳，
35	法櫃、法櫃的槓子、施恩座，
36	桌子和桌子的一切器物、呈獻餅，
37	純金燈台、燈台的那一列燈盞和一切器物、燈油，
38	金壇、膏抹油、芬芳的香、帳幕的門簾，
39	銅壇、壇的銅網、壇的槓子、壇的一切器物、洗濯盆、盆座，
40	院子的幕牆、柱子、柱座、院子的門簾、繩子、釘子，以及聖幕勤務的一切用具，就是會幕所需要的一切用具；
41	祭司在聖所服侍時穿的衣服，就是亞倫祭司的聖衣和他兒子們的衣服。
42	耶和華吩咐摩西的所有事，以色列人都照著做，他們做了整個工程。
43	摩西查看了這一切工作——他們確實做好了；耶和華怎樣吩咐，他們就怎樣做。摩西就給他們祝福。
第四十章
 	豎立會幕
1	耶和華對摩西說：
2	“一月一日那天你要豎立聖幕，就是會幕，
3	把法櫃放在那裡，用幔帳遮掩櫃子。
4	把桌子搬進去，擺好桌上應有的東西。把燈台也搬進去，把燈台的燈盞放上去。
5	把金香壇放在法櫃前，掛上聖幕的門簾。
6	把燔祭壇放在會幕門前。
7	把洗濯盆放在會幕和祭壇之間，盆裡要盛上水。
8	你要在周圍搭起院子，掛上院子的門簾。
9	然後，你要取膏抹油，膏抹聖幕和其中所有東西，使聖幕和聖幕的一切器物分別為聖，聖幕就會變得神聖。
10	又要膏抹燔祭壇和燔祭壇的一切器物，使祭壇分別為聖，祭壇就會變成至聖的。
11	還要膏抹洗濯盆和盆座，使盆分別為聖。
12	然後，你要領亞倫和他的兒子們前來，到會幕門口，用水洗濯他們。
13	你要給亞倫穿上聖衣，膏立他，使他分別為聖，做我的祭司。
14	你要領他的兒子們前來，給他們穿上內袍。
15	你要膏立他們，好像膏立他們的父親一樣，使他們做我的祭司。他們受膏抹，就使他們世世代代永遠有祭司職分。”
16	摩西就這樣做；耶和華吩咐他的所有事，他都照著做。
17	第二年一月一日，聖幕就豎立起來了。
18	摩西豎立聖幕，安好聖幕的柱座，安裝豎板，安好橫板，豎起柱子。
19	他在聖幕上面鋪帳幕，在帳幕上面放好帳幕的蓋子，照耶和華吩咐摩西的那樣。
20	他拿法版放在櫃子裡，在櫃子兩旁穿上槓子，在櫃子上面放施恩座。
21	他把櫃子抬進聖幕，掛上遮掩的幔帳，遮住法櫃，照耶和華吩咐摩西的那樣。
22	他把桌子放進會幕，放在聖幕，就是會幕北面、幔帳外面。
23	他在桌上擺好那些餅，擺在耶和華面前，照耶和華吩咐摩西的那樣。
24	他把燈台設在會幕裡，對著桌子，在聖幕南面。
25	他把那些燈盞放上去，放在耶和華面前，照耶和華吩咐摩西的那樣。
26	他把金壇設在會幕裡，在幔帳前面。
27	他在壇上燒芬芳的香，照耶和華吩咐摩西的那樣。
28	他掛上聖幕的門簾。
29	燔祭壇，他放在會幕門口，然後在上面獻上燔祭和素祭，照耶和華吩咐摩西的那樣。
30	他把洗濯盆放在會幕和祭壇之間，盆裡盛水，供洗濯用。
31	摩西、亞倫和他的兒子們就用這水洗手洗腳。
32	他們進入會幕的時候，或者走近祭壇之前，都會先洗濯，照耶和華吩咐摩西的那樣。
33	他在聖幕和祭壇的周圍搭起院子，掛上院子的門簾。這樣，摩西就完成了這工程。
 	耶和華的榮耀充滿會幕
（民9:15~23）
34	那時，雲遮蓋著會幕，耶和華的榮耀充滿了聖幕。
35	摩西不能進入會幕，因為雲駐在會幕上，耶和華的榮耀充滿了聖幕。
36	每逢雲從聖幕上方被收上去，以色列人就起程，在他們整個旅程裡都是這樣；
37	如果雲沒有被收上去，他們就不起程，直到雲被收上去那天才起程。
38	日間，耶和華的雲在聖幕上方；夜間，雲中有火——以色列全家都看得清楚，在他們整個旅程裡都是這樣。
